Date,Motilal_Oswal_Flexi_Cap_Fund_Direct_Growth_NAV,Union_Flexi_Cap_Fund_Direct_Growth_NAV,Polycab,Trent,Kalyan Jewellers India,JIO Financial Services,Coforge,Persistent Systems,Mahindra & Mahindra,Zomato,AIRTELPP,Cholamandalam Invest,Tube Investments of India,Bharti Airtel,Larsen & Toubro,ICICI Bank,BSE,Max Healthcare Institute,Tata Elxsi,Electrosteel Castings
2016-05-13,17.43,14.46,,179.62,,,473.95,357.79,656.38,,,179.77,,325.86,857.67,205.91,,,952.08,18.85
2016-05-12,17.53,14.45,,174.39,,,474.15,367.52,667.2,,,178.76,,332.47,877.4,210.73,,,952.75,19.15
2016-05-11,17.47,14.26,,170.07,,,476.05,367.55,674.1,,,180.04,,329.53,885.17,203.59,,,929.92,18.75
2016-05-10,17.52,14.37,,171.06,,,470.75,361.41,674.95,,,180.17,,338.67,880.03,205,,,935.02,18.85
2016-05-09,17.5,14.39,,170.44,,,482.8,357.87,674.8,,,180.94,,336.79,863.03,204.82,,,930.33,18.5
2016-05-06,17.34,14.45,,170.45,,,487.6,360.31,665.4,,,179.09,,329.72,840.3,198.73,,,917.85,18.15
2016-05-05,17.31,14.41,,170.48,,,460.65,361.89,660.42,,,175.61,,325.4,849.23,195.14,,,918.65,18.3
2016-05-04,17.2,14.26,,170.57,,,459.65,363.93,660.5,,,174.98,,331.88,831.2,194.95,,,923.42,18.3
2016-05-03,17.18,14.03,,170.83,,,467.4,367.3,662.92,,,169.22,,338.21,834.27,201,,,942.42,18.55
2016-05-02,17.22,13.91,,170.1,,,477.55,364.66,668.27,,,170.19,,328.52,833.83,206.14,,,952.5,18.75
2016-04-29,17.29,13.81,,169.88,,,469.65,368.97,665.48,,,159.84,,333.85,836.4,215.41,,,954.7,18.9
2016-04-28,17.17,13.8,,166.35,,,469.65,370.49,672.25,,,159.29,,342.21,839.7,218.27,,,955.55,19
2016-04-27,17.36,13.91,,164.49,,,480.75,367.82,692.38,,,159.24,,342.53,850.97,222.36,,,1020.62,19.45
2016-04-26,17.32,13.88,,165.88,,,486.95,374.04,676.92,,,158,,330.91,854,230.95,,,1000.4,19.1
2016-04-25,17.09,14.15,,163,,,494.8,364.63,663.25,,,157.21,,329.58,843.67,229.95,,,970.45,18.75
2016-04-22,17.11,14.06,,163.12,,,499.8,358.57,663,,,157.28,,324.21,843.4,229.09,,,976.9,19
2016-04-21,17.07,14.11,,161.25,,,500.45,371.89,654.33,,,152.84,,328.02,834.63,230.05,,,973.45,18.95
2016-04-20,17.17,14.04,,163.31,,,503.15,372.39,663.02,,,156.98,,327.47,843.97,216.41,,,988.55,19
2016-04-18,17.24,13.8,,166,,,510.95,382.02,670.33,,,158.53,,329.99,835.33,215.59,,,974.02,18.3
2016-04-13,17.01,13.77,,169.22,,,494.25,384.81,666.23,,,157.99,,322.51,823.27,218.77,,,970.52,18.6
2016-04-12,16.77,13.94,,169.63,,,495.75,361.41,619.98,,,157.7,,321.45,814.93,207.95,,,971.75,18.45
2016-04-11,16.65,13.89,,167.63,,,497.7,358.94,618,,,152.95,,319.76,808.9,204.27,,,962.6,18.6
2016-04-08,16.49,13.84,,158.18,,,499,358.02,616.12,,,147.64,,307.22,794.83,201.14,,,930.98,18.45
2016-04-07,16.5,13.67,,158.78,,,492.95,363.48,606.33,,,149.09,,304.15,788.6,200.27,,,931.85,18.4
2016-04-06,16.61,13.53,,162.19,,,489.95,362.46,610.17,,,145.31,,307.13,807.9,202.32,,,935.42,18.9
2016-04-05,16.52,13.53,,161.16,,,493.95,368.75,607.85,,,147.99,,303.46,796.77,205.09,,,945.85,18.6
2016-04-04,16.67,13.48,,159.99,,,507.55,372.91,622.95,,,148.05,,319.99,823.9,217.05,,,955.45,18.75
2016-04-01,16.56,13.62,,159.91,,,495.55,374.83,597.6,,,146.49,,308,825.27,216.64,,,952.27,18.55
2016-03-31,16.6,13.6,,159.18,,,496.7,369.77,605.35,,,144.25,,322.1,811.13,215.14,,,941.92,18.95
2016-03-30,16.47,13.55,,155.53,,,494.55,380.27,609.88,,,139.88,,324.85,818.7,215.91,,,942.73,19.25
2016-03-29,16.29,13.59,,155.18,,,488.1,377,616.12,,,139.64,,325.49,795.97,203.09,,,918.73,18.75
